hpd_names,cleaned_names,accepted_name,,clade,sampling_fraction,ITS (nuclear),matK (chloroplast),,Reference ,,,campo_rupestre,non_campo_rupestre
Habenaria_schwackei_Batista2524,Habenaria_schwackei,Habenaria schwackei Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777657.1,HM777953.1,,Batista et al. 2013,,,1,1
Habenaria_secunda_Batista2640,Habenaria_secunda,Habenaria secunda Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777525.1,HM777791.1,,Batista et al. 2013,,,0,1
Habenaria_secundiflora_Batista2526,Habenaria_secundiflora,Habenaria secundiflora Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777636.1,HM778005.1,,Batista et al. 2013,,,1,1
Habenaria_setacea_Mota3019,Habenaria_setacea,Habenaria setacea Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777731.1,HM777980.1,,Batista et al. 2013,,,1,0
Habenaria_seticauda_Batista1596,Habenaria_seticauda,Habenaria seticauda Lindl. ex Benth.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777584.1,HM777864.1,,Batista et al. 2013,,,0,1
Habenaria_aff_guadalajarana,Habenaria_sp1,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HF560575.1,HF560599.1,,Batista et al. 2013,,,0,1
Habenaria_aff_nuda_Batista1490,Habenaria_sp2,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777664.1,HM777922.1,,Batista et al. 2013,,,1,1
Habenaria_aff_rodriguesii,Habenaria_sp3,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777652.1,HM777986.1,,Batista et al. 2013,,,1,0
Habenaria_sp_Batista2499,Habenaria_sp4,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777704.1,HM777990.1,,Batista et al. 2013,,,0,1
Habenaria_spanophytica,Habenaria_spanophytica,Habenaria spanophytica J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777576.1,HM778016.1,,Batista et al. 2013,,,1,0
Habenaria_spathulifera,Habenaria_spathulifera,Habenaria spathulifera Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777544.1,HM777850.1,,Batista et al. 2013,,,1,1
Habenaria_sprucei,Habenaria_sprucei,Habenaria sprucei Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257470.1,KC257479.1,,Batista et al. 2013,,,1,0
Habenaria_strictissima,Habenaria_strictissima,Habenaria strictissima Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560583.1,HF560607.1,,Batista et al. 2013,,,0,1
Habenaria_subauriculata,Habenaria_subauriculata,Habenaria subauriculata B.L.Rob. & Greenm.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560584.1,HF560608.1,,Batista et al. 2013,,,0,1
Habenaria_subfiliformis_Batista2022,Habenaria_subfiliformis,Habenaria subfiliformis Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777573.1,HM778008.1,,Batista et al. 2013,,,1,1
Habenaria_subviridis_Batista2605,Habenaria_subviridis,Habenaria subviridis Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777680.1,HM777930.1,,Batista et al. 2013,,,1,1
Habenaria_tamanduensis,Habenaria_tamanduensis,Habenaria tamanduensis Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777600.1,HM777993.1,,Batista et al. 2013,,,1,0
Habenaria_tridens,Habenaria_tridens,Habenaria tridens Lindl.,,(outgroup),(outgroup),DQ522080.1,DQ522101.1,,Batista et al. 2013,,,0,1
Habenaria_trifida,Habenaria_trifida,Habenaria trifida Kunth,,(BAMM analysis not performed),(BAMM analysis not performed),HM777671.1,HM777916.1,,Batista et al. 2013,,,1,1
Habenaria_cf_uliginosa_Batista1620,Habenaria_uliginosa,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777625.1,HM777824.1,,Batista et al. 2013,,,0,1
Habenaria_umbraticola,Habenaria_umbraticola,Habenaria umbraticola Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777605.1,HM777874.1,,Batista et al. 2013,,,1,1
Habenaria_urbaniana,Habenaria_urbaniana,Habenaria urbaniana Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777658.1,HM777944.1,,Batista et al. 2013,,,1,0
Habenaria_warmingii,Habenaria_warmingii,Habenaria warmingii Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777616.1,HM777821.1,,Batista et al. 2013,,,1,1
Habenaria_weileriana,Habenaria_weileriana,Habenaria egleriana J.A.N.Batista & Bianchetti,,(outgroup),(outgroup),HF560585.1,HF560609.1,,Batista et al. 2013,,,0,1
Orchis_quadripunctata,Orchis_quadripunctata,Orchis quadripunctata Cirillo ex Ten.,,(outgroup),(outgroup),Z94105.1 / Z94106.1,AY368385.1,,Batista et al. 2013,,,0,1
Platanthera_chlorantha,Platanthera_chlorantha,Platanthera chlorantha (Custer) Rchb.,,(outgroup),(outgroup),AY704975.1,DQ522103.1,,Batista et al. 2013,,,0,1
Satyrium_bicorne,Satyrium_bicorne,Satyrium bicorne (L.) Thunb.,,(outgroup),(outgroup),AY704978.1,EF612539.1,,Batista et al. 2013,,,0,1
Stenoglottis_longifolia,Stenoglottis_longifolia,Stenoglottis longifolia Hook.f.,,(outgroup),(outgroup),AF348065.1,AY368387.1,,Batista et al. 2013,,,0,1
Habenaria_aff_canastrensis,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777708.1,HM777940.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_coxipoensis,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777543.1,HM777907.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_edwallii_Batista2395,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777553.1,HM777807.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_edwallii_Batista247,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777554.1,HM777806.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_guilleminii,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777541.1,HM777899.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_imbricata,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777678.1,HM777928.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_leprieurii,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777547.1,HM777968.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_melanopoda,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777681.1,HM777892.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_nuda_Batista1368,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777715.1,HM777985.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_nuda_Batista2091,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777722.1,HM777982.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_nuda_Batista2496,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777724.1,HM777988.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_nuda_Batista2527,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777720.1,HM777958.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_nuda_vandenBerg1238,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777665.1,HM777921.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_repens_Batista2100,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777624.1,HM777818.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_rodeiensis,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777579.1,HM777991.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_rodeiensis_2,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777578.1,HM777992.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_subfiliformis,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777705.1,HM777936.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_aff_subfiliformis_2,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777709.1,HM778010.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_arenaria_Salazar6407,x,Habenaria arenaria Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560563.1,DQ522092.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_balansae_Batista2336,x,Habenaria balansae Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777683.1,HM777883.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_brevidens_Batista2616,x,Habenaria brevidens Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777535.1,HM777903.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_caldensis_Batista250,x,Habenaria caldensis Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777645.1,HM777881.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_cf_rupicola_Batista2568,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777533.1,HM777911.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_ciliatisepala_Batista1558,x,Habenaria ciliatisepala J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777565.1,HM777998.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_curvilabra_vandenBerg1267,x,Habenaria curvilabra Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777599.1,HM777859.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_distans_Amaral18,x,Habenaria distans Griseb.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777630.1,HM777871.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_egleriana_Batista535,x,Habenaria egleriana J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777694.1,HM777963.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_egleriana_vandenBerg1224,x,Habenaria egleriana J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777692.1,HM777964.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_guilleminii_Batista1795,x,Habenaria guilleminii Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777539.1,HM777900.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_henscheniana_Mota1584,x,Habenaria henscheniana Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777622.1,HM777827.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_hexaptera_Batista59,x,Habenaria hexaptera Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777537.1,HM777908.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_imbricata_Batista1123,x,Habenaria imbricata Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777648.1,HM777926.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_lavrensis_Batista673,x,Habenaria lavrensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777711.1,HM777937.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_leprieurii_Batista1595,x,Habenaria leprieuri Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777660.1,HM777951.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_ludibundiciliata_Batista1372,x,Habenaria ludibundiciliata J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777638.1,HM778006.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_macilenta_Batista2378a,x,Habenaria macilenta (Lindl. ex Benth.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777607.1,HM777814.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_macilenta_Batista2393,x,Habenaria macilenta (Lindl. ex Benth.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777606.1,HM777811.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_melanopoda_Batista1832,x,Habenaria melanopoda Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777689.1,HM777890.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_melanopoda_Batista2471,x,Habenaria melanopoda Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777687.1,HM777889.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_melanopoda_Batista2539,x,Habenaria melanopoda Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777688.1,HM777888.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_montis_wilhelminae_Batista1811,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777693.1,HM777961.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_montis_wilhelminae_Batista2493,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777719.1,HM777960.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_parviflora_Batista1813,x,Habenaria parviflora Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777560.1,KC257478.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_regnellii_Barfknecht_sn,x,Habenaria regnellii Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777604.1,HM777831.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_repens_2,x,Habenaria repens Nutt.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777627.1,HM777816.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_rolfeana_2,x,Habenaria rolfeana Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777727.1,HM777977.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_schwackei_Batista1524,x,Habenaria schwackei Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777656.1,HM777954.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_secundiflora_Batista2392,x,Habenaria secundiflora Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777637.1,HM778004.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_setacea_Batista1417,x,Habenaria setacea Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257474.1,HM777979.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_subfiliformis_Batista1597,x,Habenaria subfiliformis Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777572.1,HM778009.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_subviridis_Batista1814,x,Habenaria subviridis Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777679.1,HM777929.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_trifida_2,x,Habenaria trifida Kunth,,(BAMM analysis not performed),(BAMM analysis not performed),HM777672.1,HM777917.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_warmingii_2,x,Habenaria warmingii Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777617.1,HM777820.1,,Batista et al. 2013,,,(double entry),(double entry)
Habenaria_espinhacensis_Batista2827,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),KT831441.1,KT831446.1,,Batista et al. 2016,,,(double entry),(double entry)
Habenaria_espinhacensis_Batista3141,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),KT831442.1,KT831447.1,,Batista et al. 2016,,,(double entry),(double entry)
Habenaria_espinhacensis_Batista3202,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),KT831443.1,KT831448.1,,Batista et al. 2016,,,(double entry),(double entry)
Habenaria_espinhacensis_Batista3227,x,NA,,(BAMM analysis not performed),(BAMM analysis not performed),KT831444.1,,,Batista et al. 2016,,,(double entry),(double entry)
Habenaria_hippocrepica_Batista1948,x,Habenaria hippocrepica ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777698.1,HM777946.1,,Batista et al. 2016,,,(double entry),(double entry)
Habenaria_hippocrepica_CvandenBerg1356,x,Habenaria hippocrepica ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777697.1,,,Batista et al. 2016,,,(double entry),(double entry)
