hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),trnL-F (plastid),trnE-UUC (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Chamaecrista_roraimae_Harley55036,x,Chamaecrista roraimae (Benth.) Gleason,(double entry),not in BAMM,,,KP967034.1,KP966928.1,KP966984.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_roraimae_Rando1154,x,Chamaecrista roraimae (Benth.) Gleason,(double entry),not in BAMM,,KP967099.1,KP967033.1,KP966927.1,KP966983.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rossicorum_Conceicao539,x,Chamaecrista rossicorum (H.S. Irwin & Barneby) Rando,(double entry),not in BAMM,,KP967102.1,KP967032.1,KP966932.1,KP966989.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rossicorum_Rando1045,x,Chamaecrista rossicorum (H.S. Irwin & Barneby) Rando,(double entry),not in BAMM,,KP967101.1,KP967029.1,KP966931.1,KP966988.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rotundata_var_grandistipula_Rando1240,x,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967106.1,KP967025.1,KP966937.1,KP966994.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rotundata_var_grandistipula_Rando925,x,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967104.1,KP967028.1,KP966934.1,KP966991.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rotundata_var_interstes_Rando1145,x,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967107.1,KP967024.1,KP966938.1,KP966995.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rotundata_var_rotundata_Rando1144,x,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967103.1,KP967022.1,KP966933.1,KP966990.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_rupestrium2,x,Chamaecrista rupestrium H.S.Irwin & Barneby,(double entry),not in BAMM,,MH835392.1,,,,,Souza et al. 2019,,(double entry),(double entry)
Chamaecrista_simplifacta_Rando802,x,Chamaecrista simplifacta H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967110.1,KP967019.1,KP966942.1,KP966999.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_swainsonii_Queiroz12314,x,Chamaecrista swainsonii (Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,,KP967016.1,KP966944.1,KP967001.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_tragacanthoides_var_rasa_Rando1005,x,Chamaecrista tragacanthoides (Mart. ex Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967113.1,KP967014.1,KP966947.1,KP966970.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_venulosa_Rando1015,x,Chamaecrista venulosa (Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967116.1,KP967011.1,KP966950.1,KP967006.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_venulosa_Rando1256,x,Chamaecrista venulosa (Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,,KP967010.1,,KP967007.1,,Rando et al. 2016,,(double entry),(double entry)
