hpd_names,cleaned_names_Marcetieae,cleaned_names_Melastomateae,accepted_name,clade,sampling_fraction,,accd,ITS,psbK-psbK,atpH-atpF,ETS,trnS-trnG,,Reference,,campo_rupestre,non_campo_rupestre
Tibouchina_foveolata,x,Tibouchina_foveolata,Tibouchina faveolata Cogn.,(not in BAMM),(not in BAMM),,JQ730392.1,JQ730183.1,JQ730603.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_fraterna,x,Tibouchina_fraterna,Tibouchina fraterna N.E. Br.,(not in BAMM),(not in BAMM),,JQ730393.1,JQ730184.1,JQ730604.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_frigidula,x,Tibouchina_frigidula,Tibouchina frigidula (DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730394.1,JQ730185.1,JQ730605.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_gardneriana,x,Tibouchina_gardneriana,Tibouchina gardneriana Cogn.,(not in BAMM),(not in BAMM),,JQ730395.1,JQ730186.1,JQ730606.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_gayana,x,Tibouchina_gayana,Tibouchina gayana (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730396.1,JQ730187.1,JQ730607.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_geitneriana,x,Tibouchina_geitneriana,Tibouchina geitneriana (Schltdl.) Cogn.,(not in BAMM),(not in BAMM),,JQ730397.1,JQ730188.1,JQ730608.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_gleasoniana,x,Tibouchina_gleasoniana,Tibouchina gleasoniana Wurdack,(not in BAMM),(not in BAMM),,,JQ730189.1,JQ730609.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_gracilis,x,Tibouchina_gracilis,Tibouchina gracilis (Bonpl.) Cogn.,(not in BAMM),(not in BAMM),,JQ730398.1,JQ730190.1,JQ730610.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_granulosa,x,Tibouchina_granulosa,Tibouchina granulosa (Desr.) Cogn.,(not in BAMM),(not in BAMM),,JQ730399.1,JQ730191.1,JQ730611.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_grossa,x,Tibouchina_grossa,Tibouchina grossa (L. f.) Cogn.,(not in BAMM),(not in BAMM),,JQ730400.1,JQ730192.1,JQ730612.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_heteromalla,x,Tibouchina_heteromalla,Tibouchina heteromalla (D. Don) Cogn.,(not in BAMM),(not in BAMM),,JQ730401.1,JQ730193.1,JQ730613.1,,KF462936.1,KU500975.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_hieracioides,x,Tibouchina_hieracioides,Tibouchina hieracioides Cogn.,(not in BAMM),(not in BAMM),,JQ730402.1,JQ730194.1,JQ730614.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_hospita,x,Tibouchina_hospita,Tibouchina hospita Cogn.,(not in BAMM),(not in BAMM),,JQ730403.1,JQ730195.1,JQ730615.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_inopinata,x,Tibouchina_inopinata,Tibouchina inopinata Wurdack,(not in BAMM),(not in BAMM),,JQ730404.1,JQ730196.1,JQ730616.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_itatiaeae,x,Tibouchina_itatiaeae,Tibouchina itatiaeae Cogn.,(not in BAMM),(not in BAMM),,JQ730405.1,JQ730197.1,JQ730617.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_kleinii,x,Tibouchina_kleinii,Tibouchina kleinii Wurdack,(not in BAMM),(not in BAMM),,JQ730406.1,JQ730198.1,JQ730618.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_laevicaulis,x,Tibouchina_laevicaulis,Tibouchina laevicaulis Wurdack,(not in BAMM),(not in BAMM),,JQ730407.1,JQ730199.1,JQ730619.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_laxa,x,Tibouchina_laxa,Tibouchina laxa (Desr.) Cogn.,(not in BAMM),(not in BAMM),,JQ730408.1,JQ730200.1,JQ730620.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_lepidota,x,Tibouchina_lepidota,Tibouchina lepidota (Bonpl.) Baill.,(not in BAMM),(not in BAMM),,JQ730409.1,JQ730201.1,JQ730621.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_lindeniana,x,Tibouchina_lindeniana,Tibouchina lindeniana Cogn.,(not in BAMM),(not in BAMM),,JQ730410.1,JQ730202.1,JQ730622.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_llanorum,x,Tibouchina_llanorum,Tibouchina llanorum Wurdack,(not in BAMM),(not in BAMM),,JQ730411.1,JQ730203.1,JQ730623.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_longifolia,x,Tibouchina_longifolia,Tibouchina longifolia (Vahl) Baill.,(not in BAMM),(not in BAMM),,JQ730412.1,JQ730204.1,JQ730624.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_macrochiton,x,Tibouchina_macrochiton,Tibouchina macrochiton Cogn.,(not in BAMM),(not in BAMM),,JQ730413.1,JQ730205.1,JQ730625.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_manicata,x,Tibouchina_manicata,Tibouchina manicata Cogn.,(not in BAMM),(not in BAMM),,JQ730414.1,JQ730206.1,JQ730626.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_martialis,x,Tibouchina_martialis,Tibouchina martialis (Cham.) Cogn.,(not in BAMM),(not in BAMM),,JQ730415.1,JQ730207.1,JQ730627.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_martiusiana,x,Tibouchina_martiusiana,Tibouchina martiusiana (DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730416.1,JQ730208.1,JQ730628.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_melanocalyx,x,Tibouchina_melanocalyx,"Tibouchina melanocalyx R. Romero, P.J.F. Guim. & Leoni",(not in BAMM),(not in BAMM),,JQ730417.1,JQ730209.1,JQ730629.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_microphylla,x,Tibouchina_microphylla,Tibouchina microphylla Cogn.,(not in BAMM),(not in BAMM),,JQ730418.1,JQ730210.1,JQ730630.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_minor,x,Tibouchina_minor,Tibouchina minor Cogn.,(not in BAMM),(not in BAMM),,JQ730419.1,JQ730211.1,JQ730631.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_mollis,x,Tibouchina_mollis,Tibouchina mollis (Bonpl.) Cogn.,(not in BAMM),(not in BAMM),,JQ730420.1,JQ730212.1,JQ730632.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_mutabilis,x,Tibouchina_mutabilis,Tibouchina mutabilis (Vell.) Cogn.,(not in BAMM),(not in BAMM),,JQ730421.1,JQ730213.1,JQ730633.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_naudiniana,x,Tibouchina_naudiniana,Tibouchina naudiniana (Decne.) Cogn.,(not in BAMM),(not in BAMM),,JQ730422.1,JQ730214.1,JQ730634.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_nodosa,x,Tibouchina_nodosa,Tibouchina nodosa Cogn.,(not in BAMM),(not in BAMM),,JQ730423.1,JQ730215.1,JQ730635.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_octopetala,x,Tibouchina_octopetala,Tibouchina octopetala Cogn.,(not in BAMM),(not in BAMM),,JQ730424.1,JQ730216.1,JQ730636.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_oreophila,x,Tibouchina_oreophila,Tibouchina oreophila Wurdack,(not in BAMM),(not in BAMM),,JQ730425.1,JQ730217.1,JQ730637.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_ornata,x,Tibouchina_ornata,Tibouchina ornata (Sw.) Baill.,(not in BAMM),(not in BAMM),,JQ730426.1,JQ730218.1,JQ730638.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_papyrus,x,Tibouchina_papyrus,Tibouchina papyrus (Pohl) Toledo,(not in BAMM),(not in BAMM),,JQ730427.1,JQ730219.1,JQ730639.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_pendula,x,Tibouchina_pendula,Tibouchina pendula Cogn.,(not in BAMM),(not in BAMM),,JQ730428.1,JQ730220.1,JQ730640.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_pereirae,x,Tibouchina_pereirae,Tibouchina pereirae Brade & Markgr.,(not in BAMM),(not in BAMM),,JQ730429.1,JQ730221.1,JQ730641.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_pulchra,x,Tibouchina_pulchra,Tibouchina pulchra (Cham.) Cogn.,(not in BAMM),(not in BAMM),,JQ730430.1,JQ730222.1,JQ730642.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_radula,x,Tibouchina_radula,Tibouchina radula Markgr.,(not in BAMM),(not in BAMM),,JQ730431.1,JQ730223.1,JQ730643.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_ramboi,x,Tibouchina_ramboi,Tibouchina ramboi Brade,(not in BAMM),(not in BAMM),,JQ730432.1,JQ730224.1,JQ730644.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_salviifolia,x,Tibouchina_salviifolia,Tibouchina salviifolia Cogn.,(not in BAMM),(not in BAMM),,JQ730433.1,JQ730225.1,JQ730645.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_sebastianopolitana,x,Tibouchina_sebastianopolitana,Tibouchina sebastianopolitana Cogn.,(not in BAMM),(not in BAMM),,JQ730434.1,JQ730226.1,JQ730646.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_sellowiana,x,Tibouchina_sellowiana,Tibouchina sellowiana Cogn.,(not in BAMM),(not in BAMM),,JQ730435.1,JQ730227.1,JQ730647.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_semidecandra,x,Tibouchina_semidecandra,Tibouchina semidecandra (Mart. & Schrank ex DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730436.1,JQ730228.1,JQ730648.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_sp_Goldenberg1143,x,Tibouchina_sp1,NA,(not in BAMM),(not in BAMM),,JQ730439.1,JQ730231.1,JQ730651.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_sp_Goldenberg1150,x,Tibouchina_sp4,NA,(not in BAMM),(not in BAMM),,JQ730438.1,JQ730230.1,JQ730650.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_sp_Guimaraes377,x,Tibouchina_sp2,NA,(not in BAMM),(not in BAMM),,JQ730440.1,JQ730232.1,JQ730652.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_sp_Nee55287,x,Tibouchina_sp3,NA,(not in BAMM),(not in BAMM),,JQ730437.1,JQ730229.1,JQ730649.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_stenocarpa,x,Tibouchina_stenocarpa,Tibouchina stenocarpa (DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730441.1,JQ730233.1,JQ730653.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_striphnocalyx,x,Tibouchina_striphnocalyx,Tibouchina striphnocalyx (DC.) Gleason,(not in BAMM),(not in BAMM),,JQ730442.1,JQ730234.1,JQ730654.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_trichopoda,x,Tibouchina_trichopoda,Tibouchina trichopoda Baill.,(not in BAMM),(not in BAMM),,JQ730443.1,JQ730235.1,JQ730655.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_trinervia,x,Tibouchina_trinervia,Tibouchina trinervia Cogn.,(not in BAMM),(not in BAMM),,JQ730444.1,,JQ730656.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_urceolaris,x,Tibouchina_urceolaris,Tibouchina urceolaris Cogn.,(not in BAMM),(not in BAMM),,JQ730445.1,JQ730236.1,JQ730657.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_ursina,x,Tibouchina_ursina,Tibouchina ursina (Cham.) Cogn.,(not in BAMM),(not in BAMM),,JQ730446.1,JQ730237.1,JQ730658.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_valtherii,x,Tibouchina_valtherii,Tibouchina valtherii Cogn.,(not in BAMM),(not in BAMM),,JQ730447.1,JQ730238.1,JQ730659.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_velutina,x,Tibouchina_velutina,Tibouchina velutina Cogn.,(not in BAMM),(not in BAMM),,JQ730448.1,JQ730239.1,JQ730660.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_wurdackii,x,Tibouchina_wurdackii,Tibouchina wurdackii Almeda & Todzia,(not in BAMM),(not in BAMM),,JQ730449.1,JQ730240.1,JQ730661.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchinopsis_mirabilis,x,Tibouchinopsis_mirabilis,Tibouchinopsis mirabilis Brade & Markgr.,(not in BAMM),(not in BAMM),,JQ730450.1,JQ730241.1,JQ730662.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Trembleya_laniflora,x,x,Trembleya laniflora (D. Don) Cogn.,(not in BAMM),(not in BAMM),,,AY553744.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Trembleya_parviflora,x,x,Trembleya parviflora (D. Don) Cogn.,(not in BAMM),(not in BAMM),,JQ730451.1,JQ730242.1,JQ730663.1,,KF462987.1,KU500979.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Trembleya_pentagona,x,x,Trembleya pentagona Naudin,(not in BAMM),(not in BAMM),,,AY553745.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Tristemma_coronatum,x,x,Tristemma coronatum Benth.,(not in BAMM),(not in BAMM),,JQ730452.1,JQ730243.1,JQ730664.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Tristemma_hirtum,x,x,Tristemma hirtum P. Beauv.,(not in BAMM),(not in BAMM),,JQ730453.1,JQ730244.1,JQ730665.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Tristemma_littorale,x,x,Tristemma littorale Benth.,(not in BAMM),(not in BAMM),,JQ730454.1,JQ730245.1,JQ730666.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Tristemma_mauritianum,x,x,Tristemma mauritianum J.F. Gmel.,(not in BAMM),(not in BAMM),,JQ730455.1,JQ730246.1,JQ730667.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
