hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,trnD,Reference,campo_rupestre,non_campo_rupestre
Mimosa_pyrenea_MFS678,Mimosa_pyrenea,Mimosa pyrenea Taub.,R,0.59,FJ982168,Simon et al. (2009),1,0
Mimosa_quadrivalvis_quadrivalvis_SLCR532,Mimosa_quadrivalvis,Mimosa quadrivalvis L.,G,0.35,FJ982169,Simon et al. (2009),0,1
Mimosa_quitensis_BAL62442,Mimosa_quitensis,Mimosa quitensis Benth.,B,0.75,HM353113,Sarkinen et al. (2011),0,1
Mimosa_quitensis_BBK647,x,(double entry),(double entry),(double entry),HM353112,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_quitensis_COR5760,x,(double entry),(double entry),(double entry),HM353114,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_quitensis_GPL2856,x,(double entry),(double entry),(double entry),HM353116,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_quitensis_VAR270,x,(double entry),(double entry),(double entry),HM353115,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_radula_imbricata_MFS731,Mimosa_radula,Mimosa radula Benth.,R,0.59,FJ982170,Simon et al. (2009),1,0
Mimosa_ramboi_LPQ12530,Mimosa_ramboi,Mimosa ramboi Burkart,X,0.5,FJ982171,Simon et al. (2009),0,1
Mimosa_ramosissima_JRVI696,Mimosa_ramosissima,Mimosa ramosissima Benth.,X,0.5,MT459597,Vasconcelos et al. (2020),0,1
Mimosa_ramulosa_LPQ12340,Mimosa_ramulosa,Mimosa ramulosa Benth.,X,0.5,FJ982172,Simon et al. (2009),0,1
Mimosa_rastrera_JRIW26736,Mimosa_rastrera,Mimosa rastrera Atahuachi & C.E.Hughes,M,1,KJ802911,Atahuachi et al. (2016),0,1
Mimosa_rastrera_MRZ1971,x,(double entry),(double entry),(double entry),MT459598,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_regina_MFS759,Mimosa_regina,Mimosa regina Barneby,O,1,FJ982173,Simon et al. (2009),1,0
Mimosa_revoluta_CEH2260,Mimosa_revoluta,Mimosa revoluta Benth.,A,0.73,HM353117,Sarkinen et al. (2011),0,1
Mimosa_revoluta_CEH2278,x,(double entry),(double entry),(double entry),FJ982174,Simon et al. (2009),(double entry),(double entry)
Mimosa_revoluta_CEH2429,x,(double entry),(double entry),(double entry),HM353118,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_revoluta_JRIW11291,x,(double entry),(double entry),(double entry),HM353119,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_revoluta_JRIW18682,x,(double entry),(double entry),(double entry),HM353120,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_revoluta_RJE103,x,(double entry),(double entry),(double entry),HM353122,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_revoluta_RJE64,x,(double entry),(double entry),(double entry),HM353121,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_rheiptera_LMB914,Mimosa_rheiptera,Mimosa rheiptera Barneby,O,1,MT459599,Vasconcelos et al. (2020),1,0
Mimosa_rhodocarpa_CEH2161,Mimosa_rhodocarpa,Mimosa rhodocarpa (Britton & Rose) R.Grether,B,0.75,FJ982175,Simon et al. (2009),0,1
Mimosa_rhodostegia_MLF590,Mimosa_rhodostegia,Mimosa rhodostegia Barneby,O,1,MT459600,Vasconcelos et al. (2020),1,0
Mimosa_riedelii_LMB837,Mimosa_riedelii,Mimosa riedelii Benth.,Y,0.83,MT459601,Vasconcelos et al. (2020),0,1
Mimosa_robusta_MFS818,Mimosa_robusta,Mimosa robusta R.Grether,G,0.35,FJ982176,Simon et al. (2009),0,1
Mimosa_rufescens_rufescens_GCF596,Mimosa_rufescens,Mimosa rufescens Benth.,A,0.73,FJ982178,Simon et al. (2009),0,1
Mimosa_rufipila_MFS1811,Mimosa_rufipila,Mimosa rufipila Benth.,Z,1,MT459602,Vasconcelos et al. (2020),1,1
Mimosa_rupertiana_RB12884,Mimosa_rupertiana,Mimosa rupertiana B.L.Turner,G,0.35,FJ982179,Simon et al. (2009),0,1
Mimosa_rusbyana_JRIW20607,Mimosa_rusbyana,Mimosa rusbyana Barneby & Fortunato,W,1,HM353123,Sarkinen et al. (2011),0,1
Mimosa_rusbyana_TS2071,x,(double entry),(double entry),(double entry),FJ982180,Simon et al. (2009),(double entry),(double entry)
Mimosa_sanguinolenta_JRVI757,Mimosa_sanguinolenta,Mimosa sanguinolenta Barneby,K,0.47,MT459603,Vasconcelos et al. (2020),0,1
Mimosa_scabrella_APSC1066,x,(double entry),(double entry),(double entry),MT459604,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_scabrella_HCL4055,Mimosa_scabrella,Mimosa scabrella Benth.,X,0.5,FJ982181,Simon et al. (2009),0,1
Mimosa_schleidenii_LPQ12348,Mimosa_schleidenii,Mimosa schleidenii Herter,X,0.5,FJ982182,Simon et al. (2009),0,1
Mimosa_schomburgkii_JJH15,x,(double entry),(double entry),(double entry),FJ982183,Simon et al. (2009),(double entry),(double entry)
Mimosa_schomburgkii_MFS1662,Mimosa_schomburgkii,Mimosa schomburgkii Benth.,N,1,MT459605,Vasconcelos et al. (2020),0,1
Mimosa_sensitiva_sensitiva_DA4,Mimosa_sensitiva,Mimosa sensitiva L.,T,0.78,FJ982184,Simon et al. (2009),1,1
Mimosa_sericantha_JSS1127,x,(double entry),(double entry),(double entry),MT459606,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_sericantha_JSS1143,x,(double entry),(double entry),(double entry),MT459607,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_sericantha_JSS1171,x,(double entry),(double entry),(double entry),MT459608,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_sericantha_MFS410,Mimosa_sericantha,Mimosa sericantha Benth.,N,1,FJ982185,Simon et al. (2009),0,1
Mimosa_setosa_granitica_LMB553,Mimosa_setosa_granitica,Mimosa setosa Benth.,O,1,MT459609,Vasconcelos et al. (2020),1,0
Mimosa_setosa_nitens_LMB1027,Mimosa_setosa_nitens,Mimosa setosa Benth.,O,1,MT459610,Vasconcelos et al. (2020),1,0
Mimosa_setosa_paludosa_LMB434,x,(double entry),(double entry),(double entry),MT459611,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_setosa_paludosa_MFS725,Mimosa_setosa_paludosa,Mimosa setosa Benth.,O,1,FJ982186,Simon et al. (2009),1,1
Mimosa_setosa_setosa_LMB1008,Mimosa_setosa_setosa,Mimosa setosa Benth.,O,1,MT459612,Vasconcelos et al. (2020),1,1
Mimosa_setosa_urbana_LMB1025,Mimosa_setosa_urbana,Mimosa setosa Benth.,O,1,MT459613,Vasconcelos et al. (2020),1,0
Mimosa_setosa_urbica_MFS730,Mimosa_setosa_urbica,Mimosa setosa Benth.,O,1,FJ982187,Simon et al. (2009),1,0
Mimosa_setosissima_LMB960,x,(double entry),(double entry),(double entry),MT459614,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_setosissima_MFS676,Mimosa_setosissima,Mimosa setosissima Taub.,O,1,FJ982188,Simon et al. (2009),1,0
Mimosa_setuligera_MFS709,Mimosa_setuligera,Mimosa setuligera Harms,I,0.77,FJ982189,Simon et al. (2009),1,1
Mimosa_sicyocarpa_JC4936,Mimosa_sicyocarpa,Mimosa sicyocarpa Robinson,V,0.92,FJ982190,Simon et al. (2009),0,1
Mimosa_similis_MFS807,Mimosa_similis,Mimosa similis Britton & Rose,B,0.75,FJ982191,Simon et al. (2009),0,1
Mimosa_sinaloensis_MFS828,Mimosa_sinaloensis,Mimosa sinaloensis Britton & Rose,G,0.35,FJ982192,Simon et al. (2009),0,1
Mimosa_skinneri_desmodioides_MFS746,Mimosa_skinneri_desmodioides,Mimosa skinneri Benth.,R,0.59,FJ982193,Simon et al. (2009),1,1
Mimosa_somnambulans_MFS2450,Mimosa_somnambulans,Mimosa somnambulans Barneby,L,0.62,MT459460,Morales et al. (2020),1,0
Mimosa_somnians_lasiocarpa_MFS736,Mimosa_somnians_lasiocarpa,Mimosa somnians Willd.,L,0.62,FJ982194,Simon et al. (2009),1,1
Mimosa_somnians_lupulina_MFS2436,Mimosa_somnians_lupulina,Mimosa somnians Willd.,L,0.62,MT459461,Morales et al. (2020),0,1
Mimosa_somnians_velascoensis_JEQR3430,Mimosa_somnians_velascoensis,Mimosa somnians Willd.,L,0.62,MT459462,Morales et al. (2020),1,1
Mimosa_somnians_viscida_JRIW27420,Mimosa_somnians_viscida,Mimosa somnians Willd.,L,0.62,KJ802912,Atahuachi et al. (2016),1,1
Mimosa_sousae_AMB918,Mimosa_sousae,Mimosa sousae R.Grether,V,0.92,FJ982195,Simon et al. (2009),0,1
Mimosa_sp._APSC895,Mimosa_sp1,Mimosa sp1 ,O,1,MT459615,Vasconcelos et al. (2020),1,0
Mimosa_sp._JEQF3486,Mimosa_sp2,Mimosa sp2 ,S,1,MT459616,Vasconcelos et al. (2020),0,1
Mimosa_sp._JRVI684,Mimosa_sp3,Mimosa sp3 ,K,0.47,MT459617,Vasconcelos et al. (2020),0,1
Mimosa_sp._LMB783,Mimosa_sp4,Mimosa sp4 ,Y,0.83,MT459618,Vasconcelos et al. (2020),0,1
Mimosa_sp._MBM15,Mimosa_sp5,Mimosa sp5 ,X,0.5,MT459619,Vasconcelos et al. (2020),0,1
Mimosa_sp._ND15,Mimosa_sp6,Mimosa sp6 ,X,0.5,FJ981990,Simon et al. (2009),0,1
Mimosa_sp._nov._aff._bipennatula_MFS2230,Mimosa_sp7,Mimosa sp7 ,S,1,MT459620,Vasconcelos et al. (2020),0,1
Mimosa_sp._nov._MFS1114,Mimosa_sp8,Mimosa sp8 ,R,0.59,MT459621,Vasconcelos et al. (2020),1,0
Mimosa_sp._nov._MFS2190,Mimosa_sp9,Mimosa sp9 ,R,0.59,MT459622,Vasconcelos et al. (2020),0,1
Mimosa_speciosissima_LMB575,x,(double entry),(double entry),(double entry),MT459623,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_speciosissima_MFS753,Mimosa_speciosissima,Mimosa speciosissima Taub.,O,1,FJ982197,Simon et al. (2009),1,0
Mimosa_spirocarpa_MFS825,Mimosa_spirocarpa,Mimosa spirocarpa Rose,B,0.75,FJ982198,Simon et al. (2009),0,1
Mimosa_spixiana_JSS1141,Mimosa_spixiana,Mimosa spixiana Barneby,N,1,MT459624,Vasconcelos et al. (2020),0,1
Mimosa_spixiana_JSS1145,x,(double entry),(double entry),(double entry),MT459625,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_splendida_MFS739,Mimosa_splendida,Mimosa splendida Barneby,O,1,FJ982199,Simon et al. (2009),1,0
Mimosa_sprengellii_LPQ12469,Mimosa_sprengellii,Mimosa sprengelii DC.,X,0.5,FJ982200,Simon et al. (2009),0,1
Mimosa_strigillosa_AWL2666,x,(double entry),(double entry),(double entry),FJ982201,Simon et al. (2009),(double entry),(double entry)
Mimosa_strigillosa_DLP900513,Mimosa_strigillosa,Mimosa strigillosa Torr. & A.Gray,J,0.6,MT459626,Vasconcelos et al. (2020),0,1
Mimosa_strobiliflora_OSR3600,Mimosa_strobiliflora,Mimosa strobiliflora Burkart,K,0.47,FJ982202,Simon et al. (2009),0,1
Mimosa_stylosa_LMB694,x,(double entry),(double entry),(double entry),MT459627,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_stylosa_VFD318,Mimosa_stylosa,Mimosa stylosa Barneby,O,1,FJ982203,Simon et al. (2009),1,0
Mimosa_suberosa_LMB782,Mimosa_suberosa,Mimosa suberosa M.Atahuachi & C.E.Hughes,Y,0.83,MT459628,Vasconcelos et al. (2020),0,1
Mimosa_taimbensis_APCS1221,Mimosa_taimbensis,Mimosa taimbensis Burkart,X,0.5,MT459629,Vasconcelos et al. (2020),0,1
Mimosa_tejupilcana_SAMA16,Mimosa_tejupilcana,Mimosa tejupilcana R.Grether & Martínez-Bernal,B,0.75,FJ982204,Simon et al. (2009),0,1
Mimosa_tenuiflora_JSS837,x,(double entry),(double entry),(double entry),MT459630,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_tenuiflora_MFS698,Mimosa_tenuiflora,Mimosa tenuiflora (Willd.) Poir.,N,1,FJ982205,Simon et al. (2009),1,1
Mimosa_tequilana_MFS813,Mimosa_tequilana,Mimosa tequilana S.Watson,T,0.78,FJ982206,Simon et al. (2009),0,1
Mimosa_texana_filipes_MFS845,Mimosa_texana_filipes,Mimosa borealis A.Gray,B,0.75,FJ982207,Simon et al. (2009),0,1
Mimosa_texana_texana_MFS803,Mimosa_texana_texana,Mimosa borealis A.Gray,B,0.75,FJ982208,Simon et al. (2009),0,1
Mimosa_tocantina_MFS864,Mimosa_tocantina,Mimosa tocantina Taub.,O,1,FJ982162,Simon et al. (2009),1,0
Mimosa_torresiae_RTC10040,Mimosa_torresiae,Mimosa torresiae R. Grether,B,0.75,FJ982209,Simon et al. (2009),0,1
Mimosa_townsendii_BBK229,x,(double entry),(double entry),(double entry),HM353126,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_townsendii_GPL2914,Mimosa_townsendii,Mimosa townsendii Barneby,A,0.73,HM353127,Sarkinen et al. (2011),0,1
Mimosa_townsendii_GPL3025,x,(double entry),(double entry),(double entry),FJ982210,Simon et al. (2009),(double entry),(double entry)
Mimosa_townsendii_LOZ1031,x,(double entry),(double entry),(double entry),HM353128,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_townsendii_LOZ943,x,(double entry),(double entry),(double entry),HM353129,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_trianae_DOA_SN,Mimosa_trianae,Mimosa trianae Benth.,N,1,MT459631,Vasconcelos et al. (2020),0,1
Mimosa_tricephala_nelsonii_AMB920,Mimosa_tricephala_nelsonii,Mimosa tricephala Cham. & Schltdl.,V,0.92,FJ982211,Simon et al. (2009),0,1
Mimosa_ulbrichiana_MFS710,Mimosa_ulbrichiana,Mimosa ulbrichiana Harms,I,0.77,FJ982212,Simon et al. (2009),1,1
Mimosa_ulei_grallator_MFS777,Mimosa_ulei_grallator,Mimosa ulei Taub.,O,1,FJ982213,Simon et al. (2009),1,0
Mimosa_ulei_ulei_LMB498,Mimosa_ulei_ulei,Mimosa ulei Taub.,O,1,MT459632,Vasconcelos et al. (2020),1,0
Mimosa_ulei_ulei_LMB541,x,(double entry),(double entry),(double entry),MT459633,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_ulei_ulei_LMB564,x,(double entry),(double entry),(double entry),MT459634,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_uliginosa_LPQ12608,Mimosa_uliginosa,Mimosa uliginosa Chodat & Hassl.,K,0.47,FJ982214,Simon et al. (2009),0,1
Mimosa_unipinnata_MAC2355,Mimosa_unipinnata,Mimosa unipinnata B.D.Parfitt & Pinkava,B,0.75,FJ982215,Simon et al. (2009),0,1
Mimosa_uraguensis_MFS862,Mimosa_uraguensis,Mimosa uruguensis Hook. & Arn.,K,0.47,FJ982216,Simon et al. (2009),0,1
Mimosa_ursina_MFS704,Mimosa_ursina,Mimosa ursina Mart.,Q,0.75,FJ982217,Simon et al. (2009),1,1
Mimosa_urticaria_APSC1077,Mimosa_urticaria,Mimosa urticaria Barneby,X,0.5,MT459635,Vasconcelos et al. (2020),0,1
Mimosa_velloziana_velloziana_MFS721,Mimosa_velloziana_velloziana,Mimosa velloziana Mart.,T,0.78,FJ982218,Simon et al. (2009),1,1
Mimosa_vennatorum_MFS740,Mimosa_vennatorum,Mimosa venatorum Barneby,R,0.59,FJ982219,Simon et al. (2009),1,0
Mimosa_verecunda_MFS749,Mimosa_verecunda,Mimosa verecunda Benth.,S,1,FJ982220,Simon et al. (2009),1,0
Mimosa_vernicosa_ciliata_MFS2439,Mimosa_vernicosa_ciliata,Mimosa vernicosa Benth.,O,1,MT459636,Vasconcelos et al. (2020),0,1
Mimosa_verrucosa_JSS827,x,(double entry),(double entry),(double entry),MT459637,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_verrucosa_MFS706,Mimosa_verrucosa,Mimosa verrucosa Benth.,N,1,FJ982221,Simon et al. (2009),1,1
Mimosa_vestita_MFS769,Mimosa_vestita,Mimosa vestita Benth.,R,0.59,FJ982222,Simon et al. (2009),1,0
Mimosa_vilersii_JNL3020,Mimosa_vilersii,Mimosa vilersii Drake,D,0.58,FJ982223,Simon et al. (2009),0,1
Mimosa_viperina_LMB940,x,(double entry),(double entry),(double entry),MT459638,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_viperina_MFS461,Mimosa_viperina,Mimosa viperina Marc.F.Simon & C.E.Hughes,O,1,FJ982048,Simon et al. (2009),1,0
Mimosa_virgula_MAS5134,Mimosa_virgula,Mimosa virgula Barneby,R,0.59,FJ982225,Simon et al. (2009),1,0
Mimosa_volubilis_DJP739,Mimosa_volubilis,Mimosa volubilis Villiers,D,0.58,FJ982226,Simon et al. (2009),0,1
Mimosa_waterlotii_BDS2551,Mimosa_waterlotii,Mimosa waterlotii R.Vig.,D,0.58,FJ982227,Simon et al. (2009),0,1
Mimosa_watsonii_MFS857,Mimosa_watsonii,Mimosa watsonii Robinson,A,0.73,FJ982228,Simon et al. (2009),0,1
Mimosa_weberbaueri_CEH2043,Mimosa_weberbaueri,Mimosa weberbaueri Harms,B,0.75,FJ982229,Simon et al. (2009),0,1
Mimosa_weberbaueri_RJE53,x,(double entry),(double entry),(double entry),HM353130,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_weberbaueri_RJE96,x,(double entry),(double entry),(double entry),HM353131,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_weddelliana_NR4657,Mimosa_weddelliana,Mimosa weddelliana Benth.,J,0.6,FJ982230,Simon et al. (2009),1,1
Mimosa_woodii_CEH2285,Mimosa_woodii,Mimosa woodii Atahuachi & C.E.Hughes,W,1,FJ982231,Simon et al. (2009),0,1
Mimosa_woodii_JRIW20945,x,(double entry),(double entry),(double entry),HM353132,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_xanthocentra_subsericea_CEH2403,Mimosa_xanthocentra_subsericea,Mimosa xanthocentra Mart.,S,1,FJ982232,Simon et al. (2009),1,1
Mimosa_xanthocentra_tremula_MRZ1695,Mimosa_xanthocentra_tremula,Mimosa xanthocentra Mart.,S,1,MT459639,Vasconcelos et al. (2020),1,1
Mimosa_xanti_DLP890038,Mimosa_xanti,Mimosa xanti A.Gray,V,0.92,MT459640,Vasconcelos et al. (2020),0,1
Mimosa_xavantinae_RF346,Mimosa_xavantinae,Mimosa xavantinae Barneby,N,1,FJ982233,Simon et al. (2009),0,1
Mimosa_xiquexiquensis_RMH54331,Mimosa_xiquexiquensis,Mimosa xiquexiquensis Barneby,I,0.77,JF694271,Simon et al. (2011),0,1
Mimosa_zygophylla_SLCR525,Mimosa_zygophylla,Mimosa zygophylla A.Gray,B,0.75,FJ982234,Simon et al. (2009),0,1
Parapiptadenia_excelsa_CEH2425,Parapiptadenia_excelsa,Parapiptadenia excelsa (Griseb.) Burkart,(outgroup),(outgroup),FJ982235,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_adiantoides_MFS726,Piptadenia_adiantoides,Piptadenia adiantoides (Spreng.) J.F.Macbr.,(outgroup),(outgroup),FJ982236,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_buchtienii_CEH2427,Piptadenia_buchtienii,Piptadenia buchtienii Barneby,(outgroup),(outgroup),FJ982237,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_gonoacantha_MFS735,Piptadenia_gonoacantha,Piptadenia gonoacantha (Mart.) J.F.Macbr.,(outgroup),(outgroup),FJ982238,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_moniliformis_MJW2449,Pityrocarpa_moniliformis,Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson,(outgroup),(outgroup),FJ982239,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_obliqua_DJM439,Pityrocarpa_obliqua,Pityrocarpa obliqua (Pers.) Brenan,(outgroup),(outgroup),FJ982240,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_stipulacea_MFS702,Piptadenia_stipulacea,Piptadenia stipulacea (Benth.) Ducke,(outgroup),(outgroup),FJ982241,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_trisperma_KEA512,Piptadenia_trisperma,Piptadenia trisperma (Vell.) Benth.,(outgroup),(outgroup),FJ982242,Simon et al. (2009),(outgroup),(outgroup)
Piptadenia_viridiflora_CEH1681,x,(double entry),(double entry),(double entry),FJ982243,Simon et al. (2009),(double entry),(double entry)
Stryphnodendron_adstringens_MFS734,Stryphnodendron_adstringens,Stryphnodendron adstringens (Mart.) Coville,(outgroup),(outgroup),FJ982244,Simon et al. (2009),(outgroup),(outgroup)
Stryphnodendron_obovatum_CEH2397,Stryphnodendron_obovatum,Stryphnodendron obovatum Benth.,(outgroup),(outgroup),FJ982245,Simon et al. (2009),(outgroup),(outgroup)
