hpd_name,cleaned_name,accepted_name,,clade,sampling_fraction,,phyC,rpl32-trnl,rps16-trnk,trnD-trnY,trnK-matK,rps16,,Reference,,campo_rupestre,Non_campo_rupestre
Encholirium_sp_FK0125,Encholirium_sp5,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784043.1,KF784167.1,KF784291.1,KF784415.1,KF784663.1,KF784539.1,,Krapp et al. 2014,,0,1
Encholirium_sp_FK0257,Encholirium_sp6,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784110.1,KF784234.1,KF784358.1,KF784482.1,KF784730.1,KF784606.1,,Krapp et al. 2014,,0,1
Fosterella_albicans,Fosterella_albicans,Fosterella albicans (Griseb.) L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784081.1,KF784205.1,KF784329.1,KF784453.1,KF784701.1,KF784577.1,,Krapp et al. 2014,,0,1
Fosterella_penduliflora,Fosterella_penduliflora,Fosterella penduliflora (C.H.Wright) L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784045.1,KF784169.1,KF784293.1,KF784417.1,KF784665.1,KF784541.1,,Krapp et al. 2014,,0,1
Fosterella_spectabilis,Fosterella_spectabilis,Fosterella spectabilis H.E.Luther,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784082.1,KF784206.1,KF784330.1,KF784454.1,KF784702.1,KF784578.1,,Krapp et al. 2014,,0,1
Fosterella_villosula,Fosterella_villosula,Fosterella villosula (Harms) L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784040.1,KF784164.1,KF784288.1,KF784412.1,KF784660.1,KF784536.1,,Krapp et al. 2014,,0,1
Fosterella_weddelliana,Fosterella_weddelliana,Fosterella weddelliana (Brongn. ex Baker) L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784041.1,KF784165.1,KF784289.1,KF784413.1,KF784661.1,KF784537.1,,Krapp et al. 2014,,0,1
Pitcairnia_feliciana,Pitcairnia_feliciana,Pitcairnia feliciana (A.Chev.) Harms & Mildbr.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784083.1,KF784207.1,KF784331.1,KF784455.1,KF784703.1,KF784579.1,,Krapp et al. 2014,,0,1
Pitcairnia_fuertesii,Pitcairnia_fuertesii,Pitcairnia fuertesii Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784084.1,KF784208.1,KF784332.1,KF784456.1,KF784704.1,KF784580.1,,Krapp et al. 2014,,0,1
Pitcairnia_heterophylla,Pitcairnia_heterophylla,Pitcairnia heterophylla (Lindl.) Beer,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784047.1,KF784171.1,KF784295.1,KF784419.1,KF784667.1,KF784543.1,,Krapp et al. 2014,,0,1
Pitcairnia_piepenbringii,Pitcairnia_piepenbringii,Pitcairnia piepenbringii Rauh & E.Gross,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784049.1,KF784173.1,KF784297.1,KF784421.1,KF784669.1,KF784545.1,,Krapp et al. 2014,,0,1
Pitcairnia_pungens,Pitcairnia_pungens,Pitcairnia pungens Kunth,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784048.1,KF784172.1,KF784296.1,KF784420.1,KF784668.1,KF784544.1,,Krapp et al. 2014,,0,1
Puya_ferruginea,Puya_ferruginea,Puya ferruginea (Ruiz & Pav.) L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784046.1,KF784170.1,KF784294.1,KF784418.1,KF784666.1,KF784542.1,,Krapp et al. 2014,,0,1
Puya_herzogii,Puya_herzogii,Puya herzogii Wittm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784085.1,KF784209.1,KF784333.1,KF784457.1,KF784705.1,KF784581.1,,Krapp et al. 2014,,0,1
