,cr,nonCr,Single_trait
Mimosa_lanuginosa_lanuginosa,1,0,2
Mimosa_cyclophylla,1,0,2
Mimosa_virgula,1,0,2
Mimosa_pyrenea,1,0,2
Mimosa_radula,1,0,2
Mimosa_chrysothrix,1,0,2
Mimosa_vennatorum,1,0,2
Mimosa_dicerastes,1,0,2
Mimosa_hirsutissima_grossa,1,1,1
Mimosa_hirsutissima_barbigera,1,1,1
Mimosa_skinneri_desmodioides,1,1,1
Mimosa_vestita,1,0,2
Mimosa_modesta,1,1,1
Mimosa_honesta,1,0,2
Mimosa_ursina,1,1,1
Mimosa_cordistipula,1,0,2
Mimosa_morroensis,1,0,2
Mimosa_guaranitica,1,1,1
Mimosa_ulbrichiana,1,1,1
Mimosa_setuligera,1,1,1
Mimosa_blanchetii,1,0,2
Mimosa_minarum,1,0,2
Mimosa_eurystegia,1,0,2
Mimosa_gatesiae,1,0,2
Mimosa_gracilis_stipitata,1,0,2
Mimosa_diplotricha_diplotricha,1,1,1
Mimosa_gracilis_invisiformis,1,0,2
Mimosa_echinocaula,1,0,2
Mimosa_paucifolia,1,1,1
Mimosa_campicola_planipes,1,0,2
Mimosa_crumenarioides,1,0,2
Mimosa_polydidyma,1,0,2
Mimosa_filipes,1,1,1
Mimosa_candollei,1,1,1
Mimosa_invisa_invisa,1,1,1
Mimosa_ceratonia_interior,1,0,2
Mimosa_ceratonia_ceratonia,1,1,1
Mimosa_laticifera,1,1,1
Mimosa_ophthalmocentra,1,1,1
Mimosa_hapaloclada,1,0,2
Mimosa_mensicola,1,0,2
Mimosa_arenosa_arenosa,1,1,1
Mimosa_irrigua,1,1,1
Mimosa_pithecolobioides,1,0,2
Pityrocarpa_obliqua,OUT,OUT,OUT
Pityrocarpa_moniliformis,OUT,OUT,OUT
Parapiptadenia_excelsa,OUT,OUT,OUT
Stryphnodendron_obovatum,OUT,OUT,OUT
Stryphnodendron_adstringens,OUT,OUT,OUT
Microlobius_foetidus,OUT,OUT,OUT
Anadenanthera_colubrina,OUT,OUT,OUT
Piptadenia_trisperma,OUT,OUT,OUT
Piptadenia_buchtienii,OUT,OUT,OUT
Piptadenia_gonoacantha,OUT,OUT,OUT
Piptadenia_adiantoides,OUT,OUT,OUT
Piptadenia_stipulacea,OUT,OUT,OUT
